MatchDate:			 Date of the match.
dist to closest home_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <dist to closest home_avg_perTimePerPlayer_ref> (Distance to closest home player.). For <refTeam>. During the whole duration of the events <attack>.
dist to closest home_avg_perTimePerPlayer_ref_min:	 Minimum of <dist to closest home_avg_perTimePerPlayer_ref> (Distance to closest home player.). For <refTeam>. During the whole duration of the events <attack>.
dist to closest home_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <dist to closest home_avg_perTimePerPlayer_ref> (Distance to closest home player.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
dist to closest home_avg_perTimePerPlayer_ref_max:	 Maximum of <dist to closest home_avg_perTimePerPlayer_ref> (Distance to closest home player.). For <refTeam>. During the whole duration of the events <attack>.
dist to closest home_avg_perTimePerPlayer_oth_avg:	 Average of <dist to closest home_avg_perTimePerPlayer_oth> (Distance to closest home player.). For <othTeam>. During the whole duration of the events <attack>.
dist to closest home_avg_perTimePerPlayer_oth_avgGreaterThanZero:	 Average of <dist to closest home_avg_perTimePerPlayer_oth> (Distance to closest home player.) with only values greater than zero. For <othTeam>. During the whole duration of the events <attack>.
dist to closest home_avg_perTimePerPlayer_oth_std:	 Standard Deviation of <dist to closest home_avg_perTimePerPlayer_oth> (Distance to closest home player.). For <othTeam>. During the whole duration of the events <attack>.
dist to closest home_avg_perTimePerPlayer_oth_min:	 Minimum of <dist to closest home_avg_perTimePerPlayer_oth> (Distance to closest home player.). For <othTeam>. During the whole duration of the events <attack>.
dist to closest home_avg_perTimePerPlayer_oth_minGreaterThanZero:	 Minimum of <dist to closest home_avg_perTimePerPlayer_oth> (Distance to closest home player.) with only values greater than zero. For <othTeam>. During the whole duration of the events <attack>.
dist to closest home_avg_perTimePerPlayer_oth_max:	 Maximum of <dist to closest home_avg_perTimePerPlayer_oth> (Distance to closest home player.). For <othTeam>. During the whole duration of the events <attack>.
dist to closest visitor_avg:	 Average of <dist to closest visitor> (Distance to closest away player.). For <playerRows>. During the whole duration of the events <attack>.
dist to closest visitor_avgGreaterThanZero:	 Average of <dist to closest visitor> (Distance to closest away player.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
dist to closest visitor_std:	 Standard Deviation of <dist to closest visitor> (Distance to closest away player.). For <playerRows>. During the whole duration of the events <attack>.
dist to closest visitor_min:	 Minimum of <dist to closest visitor> (Distance to closest away player.). For <playerRows>. During the whole duration of the events <attack>.
dist to closest visitor_minGreaterThanZero:	 Minimum of <dist to closest visitor> (Distance to closest away player.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
dist to closest visitor_max:	 Maximum of <dist to closest visitor> (Distance to closest away player.). For <playerRows>. During the whole duration of the events <attack>.
dist to closest visitor_avg_perTimePerPlayer_all_avg:	 Average of <dist to closest visitor_avg_perTimePerPlayer_all> (Distance to closest away player.). For <allTeam>. During the whole duration of the events <attack>.
dist to closest visitor_avg_perTimePerPlayer_all_avgGreaterThanZero:	 Average of <dist to closest visitor_avg_perTimePerPlayer_all> (Distance to closest away player.) with only values greater than zero. For <allTeam>. During the whole duration of the events <attack>.
dist to closest visitor_avg_perTimePerPlayer_all_std:	 Standard Deviation of <dist to closest visitor_avg_perTimePerPlayer_all> (Distance to closest away player.). For <allTeam>. During the whole duration of the events <attack>.
dist to closest visitor_avg_perTimePerPlayer_all_min:	 Minimum of <dist to closest visitor_avg_perTimePerPlayer_all> (Distance to closest away player.). For <allTeam>. During the whole duration of the events <attack>.
dist to closest visitor_avg_perTimePerPlayer_all_minGreaterThanZero:	 Minimum of <dist to closest visitor_avg_perTimePerPlayer_all> (Distance to closest away player.) with only values greater than zero. For <allTeam>. During the whole duration of the events <attack>.
dist to closest visitor_avg_perTimePerPlayer_all_max:	 Maximum of <dist to closest visitor_avg_perTimePerPlayer_all> (Distance to closest away player.). For <allTeam>. During the whole duration of the events <attack>.
dist to closest visitor_avg_perTimePerPlayer_ref_avg:	 Average of <dist to closest visitor_avg_perTimePerPlayer_ref> (Distance to closest away player.). For <refTeam>. During the whole duration of the events <attack>.
dist to closest visitor_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <dist to closest visitor_avg_perTimePerPlayer_ref> (Distance to closest away player.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
dist to closest visitor_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <dist to closest visitor_avg_perTimePerPlayer_ref> (Distance to closest away player.). For <refTeam>. During the whole duration of the events <attack>.
dist to closest visitor_avg_perTimePerPlayer_ref_min:	 Minimum of <dist to closest visitor_avg_perTimePerPlayer_ref> (Distance to closest away player.). For <refTeam>. During the whole duration of the events <attack>.
dist to closest visitor_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <dist to closest visitor_avg_perTimePerPlayer_ref> (Distance to closest away player.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
dist to closest visitor_avg_perTimePerPlayer_ref_max:	 Maximum of <dist to closest visitor_avg_perTimePerPlayer_ref> (Distance to closest away player.). For <refTeam>. During the whole duration of the events <attack>.
dist to closest visitor_avg_perTimePerPlayer_oth_avg:	 Average of <dist to closest visitor_avg_perTimePerPlayer_oth> (Distance to closest away player.). For <othTeam>. During the whole duration of the events <attack>.
dist to closest visitor_avg_perTimePerPlayer_oth_avgGreaterThanZero:	 Average of <dist to closest visitor_avg_perTimePerPlayer_oth> (Distance to closest away player.) with only values greater than zero. For <othTeam>. During the whole duration of the events <attack>.
dist to closest visitor_avg_perTimePerPlayer_oth_std:	 Standard Deviation of <dist to closest visitor_avg_perTimePerPlayer_oth> (Distance to closest away player.). For <othTeam>. During the whole duration of the events <attack>.
dist to closest visitor_avg_perTimePerPlayer_oth_min:	 Minimum of <dist to closest visitor_avg_perTimePerPlayer_oth> (Distance to closest away player.). For <othTeam>. During the whole duration of the events <attack>.
dist to closest visitor_avg_perTimePerPlayer_oth_minGreaterThanZero:	 Minimum of <dist to closest visitor_avg_perTimePerPlayer_oth> (Distance to closest away player.) with only values greater than zero. For <othTeam>. During the whole duration of the events <attack>.
dist to closest visitor_avg_perTimePerPlayer_oth_max:	 Maximum of <dist to closest visitor_avg_perTimePerPlayer_oth> (Distance to closest away player.). For <othTeam>. During the whole duration of the events <attack>.
zone_avg:			 Average of <zone> (Value of player with ball in the final third (last 34 meters).). For <playerRows>. During the whole duration of the events <attack>.
zone_avgGreaterThanZero:	 Average of <zone> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
zone_std:			 Standard Deviation of <zone> (Value of player with ball in the final third (last 34 meters).). For <playerRows>. During the whole duration of the events <attack>.
zone_min:			 Minimum of <zone> (Value of player with ball in the final third (last 34 meters).). For <playerRows>. During the whole duration of the events <attack>.
zone_minGreaterThanZero:	 Minimum of <zone> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
zone_max:			 Maximum of <zone> (Value of player with ball in the final third (last 34 meters).). For <playerRows>. During the whole duration of the events <attack>.
zone_avg_perTimePerPlayer_ref_avg:	 Average of <zone_avg_perTimePerPlayer_ref> (Value of player with ball in the final third (last 34 meters).). For <refTeam>. During the whole duration of the events <attack>.
zone_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <zone_avg_perTimePerPlayer_ref> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
zone_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <zone_avg_perTimePerPlayer_ref> (Value of player with ball in the final third (last 34 meters).). For <refTeam>. During the whole duration of the events <attack>.
zone_avg_perTimePerPlayer_ref_min:	 Minimum of <zone_avg_perTimePerPlayer_ref> (Value of player with ball in the final third (last 34 meters).). For <refTeam>. During the whole duration of the events <attack>.
zone_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <zone_avg_perTimePerPlayer_ref> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
zone_avg_perTimePerPlayer_ref_max:	 Maximum of <zone_avg_perTimePerPlayer_ref> (Value of player with ball in the final third (last 34 meters).). For <refTeam>. During the whole duration of the events <attack>.
zone_01_avg:			 Average of <zone_01> (Value of player with ball in the final third (last 34 meters).). For <1th player>. During the whole duration of the events <attack>.
zone_01_avgGreaterThanZero:	 Average of <zone_01> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <1th player>. During the whole duration of the events <attack>.
zone_01_std:			 Standard Deviation of <zone_01> (Value of player with ball in the final third (last 34 meters).). For <1th player>. During the whole duration of the events <attack>.
zone_01_min:			 Minimum of <zone_01> (Value of player with ball in the final third (last 34 meters).). For <1th player>. During the whole duration of the events <attack>.
zone_01_minGreaterThanZero:	 Minimum of <zone_01> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <1th player>. During the whole duration of the events <attack>.
zone_01_max:			 Maximum of <zone_01> (Value of player with ball in the final third (last 34 meters).). For <1th player>. During the whole duration of the events <attack>.
zone_02_avg:			 Average of <zone_02> (Value of player with ball in the final third (last 34 meters).). For <2th player>. During the whole duration of the events <attack>.
zone_02_avgGreaterThanZero:	 Average of <zone_02> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <2th player>. During the whole duration of the events <attack>.
zone_02_std:			 Standard Deviation of <zone_02> (Value of player with ball in the final third (last 34 meters).). For <2th player>. During the whole duration of the events <attack>.
zone_02_min:			 Minimum of <zone_02> (Value of player with ball in the final third (last 34 meters).). For <2th player>. During the whole duration of the events <attack>.
zone_02_minGreaterThanZero:	 Minimum of <zone_02> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <2th player>. During the whole duration of the events <attack>.
zone_02_max:			 Maximum of <zone_02> (Value of player with ball in the final third (last 34 meters).). For <2th player>. During the whole duration of the events <attack>.
zone_03_avg:			 Average of <zone_03> (Value of player with ball in the final third (last 34 meters).). For <3th player>. During the whole duration of the events <attack>.
zone_03_avgGreaterThanZero:	 Average of <zone_03> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
zone_03_std:			 Standard Deviation of <zone_03> (Value of player with ball in the final third (last 34 meters).). For <3th player>. During the whole duration of the events <attack>.
zone_03_min:			 Minimum of <zone_03> (Value of player with ball in the final third (last 34 meters).). For <3th player>. During the whole duration of the events <attack>.
zone_03_minGreaterThanZero:	 Minimum of <zone_03> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
zone_03_max:			 Maximum of <zone_03> (Value of player with ball in the final third (last 34 meters).). For <3th player>. During the whole duration of the events <attack>.
zone_04_avg:			 Average of <zone_04> (Value of player with ball in the final third (last 34 meters).). For <4th player>. During the whole duration of the events <attack>.
zone_04_avgGreaterThanZero:	 Average of <zone_04> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <4th player>. During the whole duration of the events <attack>.
zone_04_std:			 Standard Deviation of <zone_04> (Value of player with ball in the final third (last 34 meters).). For <4th player>. During the whole duration of the events <attack>.
zone_04_min:			 Minimum of <zone_04> (Value of player with ball in the final third (last 34 meters).). For <4th player>. During the whole duration of the events <attack>.
zone_04_minGreaterThanZero:	 Minimum of <zone_04> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <4th player>. During the whole duration of the events <attack>.
zone_04_max:			 Maximum of <zone_04> (Value of player with ball in the final third (last 34 meters).). For <4th player>. During the whole duration of the events <attack>.
zone_05_avg:			 Average of <zone_05> (Value of player with ball in the final third (last 34 meters).). For <5th player>. During the whole duration of the events <attack>.
zone_05_avgGreaterThanZero:	 Average of <zone_05> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <5th player>. During the whole duration of the events <attack>.
zone_05_std:			 Standard Deviation of <zone_05> (Value of player with ball in the final third (last 34 meters).). For <5th player>. During the whole duration of the events <attack>.
zone_05_min:			 Minimum of <zone_05> (Value of player with ball in the final third (last 34 meters).). For <5th player>. During the whole duration of the events <attack>.
zone_05_minGreaterThanZero:	 Minimum of <zone_05> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <5th player>. During the whole duration of the events <attack>.
zone_05_max:			 Maximum of <zone_05> (Value of player with ball in the final third (last 34 meters).). For <5th player>. During the whole duration of the events <attack>.
zone_06_avg:			 Average of <zone_06> (Value of player with ball in the final third (last 34 meters).). For <6th player>. During the whole duration of the events <attack>.
zone_06_avgGreaterThanZero:	 Average of <zone_06> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <6th player>. During the whole duration of the events <attack>.
zone_06_std:			 Standard Deviation of <zone_06> (Value of player with ball in the final third (last 34 meters).). For <6th player>. During the whole duration of the events <attack>.
zone_06_min:			 Minimum of <zone_06> (Value of player with ball in the final third (last 34 meters).). For <6th player>. During the whole duration of the events <attack>.
zone_06_minGreaterThanZero:	 Minimum of <zone_06> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <6th player>. During the whole duration of the events <attack>.
zone_06_max:			 Maximum of <zone_06> (Value of player with ball in the final third (last 34 meters).). For <6th player>. During the whole duration of the events <attack>.
zone_07_avg:			 Average of <zone_07> (Value of player with ball in the final third (last 34 meters).). For <7th player>. During the whole duration of the events <attack>.
zone_07_avgGreaterThanZero:	 Average of <zone_07> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <7th player>. During the whole duration of the events <attack>.
zone_07_std:			 Standard Deviation of <zone_07> (Value of player with ball in the final third (last 34 meters).). For <7th player>. During the whole duration of the events <attack>.
zone_07_min:			 Minimum of <zone_07> (Value of player with ball in the final third (last 34 meters).). For <7th player>. During the whole duration of the events <attack>.
zone_07_minGreaterThanZero:	 Minimum of <zone_07> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <7th player>. During the whole duration of the events <attack>.
zone_07_max:			 Maximum of <zone_07> (Value of player with ball in the final third (last 34 meters).). For <7th player>. During the whole duration of the events <attack>.
zone_08_avg:			 Average of <zone_08> (Value of player with ball in the final third (last 34 meters).). For <8th player>. During the whole duration of the events <attack>.
zone_08_avgGreaterThanZero:	 Average of <zone_08> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <8th player>. During the whole duration of the events <attack>.
zone_08_std:			 Standard Deviation of <zone_08> (Value of player with ball in the final third (last 34 meters).). For <8th player>. During the whole duration of the events <attack>.
zone_08_min:			 Minimum of <zone_08> (Value of player with ball in the final third (last 34 meters).). For <8th player>. During the whole duration of the events <attack>.
zone_08_minGreaterThanZero:	 Minimum of <zone_08> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <8th player>. During the whole duration of the events <attack>.
zone_08_max:			 Maximum of <zone_08> (Value of player with ball in the final third (last 34 meters).). For <8th player>. During the whole duration of the events <attack>.
zone_09_avg:			 Average of <zone_09> (Value of player with ball in the final third (last 34 meters).). For <9th player>. During the whole duration of the events <attack>.
zone_09_avgGreaterThanZero:	 Average of <zone_09> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <9th player>. During the whole duration of the events <attack>.
zone_09_std:			 Standard Deviation of <zone_09> (Value of player with ball in the final third (last 34 meters).). For <9th player>. During the whole duration of the events <attack>.
zone_09_min:			 Minimum of <zone_09> (Value of player with ball in the final third (last 34 meters).). For <9th player>. During the whole duration of the events <attack>.
zone_09_minGreaterThanZero:	 Minimum of <zone_09> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <9th player>. During the whole duration of the events <attack>.
zone_09_max:			 Maximum of <zone_09> (Value of player with ball in the final third (last 34 meters).). For <9th player>. During the whole duration of the events <attack>.
zone_10_avg:			 Average of <zone_10> (Value of player with ball in the final third (last 34 meters).). For <10th player>. During the whole duration of the events <attack>.
zone_10_avgGreaterThanZero:	 Average of <zone_10> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <10th player>. During the whole duration of the events <attack>.
zone_10_std:			 Standard Deviation of <zone_10> (Value of player with ball in the final third (last 34 meters).). For <10th player>. During the whole duration of the events <attack>.
zone_10_min:			 Minimum of <zone_10> (Value of player with ball in the final third (last 34 meters).). For <10th player>. During the whole duration of the events <attack>.
zone_10_minGreaterThanZero:	 Minimum of <zone_10> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <10th player>. During the whole duration of the events <attack>.
zone_10_max:			 Maximum of <zone_10> (Value of player with ball in the final third (last 34 meters).). For <10th player>. During the whole duration of the events <attack>.
zone_11_avg:			 Average of <zone_11> (Value of player with ball in the final third (last 34 meters).). For <11th player>. During the whole duration of the events <attack>.
zone_11_avgGreaterThanZero:	 Average of <zone_11> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <11th player>. During the whole duration of the events <attack>.
zone_11_std:			 Standard Deviation of <zone_11> (Value of player with ball in the final third (last 34 meters).). For <11th player>. During the whole duration of the events <attack>.
zone_11_min:			 Minimum of <zone_11> (Value of player with ball in the final third (last 34 meters).). For <11th player>. During the whole duration of the events <attack>.
zone_11_minGreaterThanZero:	 Minimum of <zone_11> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <11th player>. During the whole duration of the events <attack>.
zone_11_max:			 Maximum of <zone_11> (Value of player with ball in the final third (last 34 meters).). For <11th player>. During the whole duration of the events <attack>.
zone_12_avg:			 Average of <zone_12> (Value of player with ball in the final third (last 34 meters).). For <12th player>. During the whole duration of the events <attack>.
zone_12_avgGreaterThanZero:	 Average of <zone_12> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <12th player>. During the whole duration of the events <attack>.
zone_12_std:			 Standard Deviation of <zone_12> (Value of player with ball in the final third (last 34 meters).). For <12th player>. During the whole duration of the events <attack>.
zone_12_min:			 Minimum of <zone_12> (Value of player with ball in the final third (last 34 meters).). For <12th player>. During the whole duration of the events <attack>.
zone_12_minGreaterThanZero:	 Minimum of <zone_12> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <12th player>. During the whole duration of the events <attack>.
zone_12_max:			 Maximum of <zone_12> (Value of player with ball in the final third (last 34 meters).). For <12th player>. During the whole duration of the events <attack>.
zone_13_avg:			 Average of <zone_13> (Value of player with ball in the final third (last 34 meters).). For <13th player>. During the whole duration of the events <attack>.
zone_13_avgGreaterThanZero:	 Average of <zone_13> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <13th player>. During the whole duration of the events <attack>.
zone_13_std:			 Standard Deviation of <zone_13> (Value of player with ball in the final third (last 34 meters).). For <13th player>. During the whole duration of the events <attack>.
zone_13_min:			 Minimum of <zone_13> (Value of player with ball in the final third (last 34 meters).). For <13th player>. During the whole duration of the events <attack>.
zone_13_minGreaterThanZero:	 Minimum of <zone_13> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <13th player>. During the whole duration of the events <attack>.
zone_13_max:			 Maximum of <zone_13> (Value of player with ball in the final third (last 34 meters).). For <13th player>. During the whole duration of the events <attack>.
zone_14_avg:			 Average of <zone_14> (Value of player with ball in the final third (last 34 meters).). For <14th player>. During the whole duration of the events <attack>.
zone_14_avgGreaterThanZero:	 Average of <zone_14> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <14th player>. During the whole duration of the events <attack>.
zone_14_std:			 Standard Deviation of <zone_14> (Value of player with ball in the final third (last 34 meters).). For <14th player>. During the whole duration of the events <attack>.
zone_14_min:			 Minimum of <zone_14> (Value of player with ball in the final third (last 34 meters).). For <14th player>. During the whole duration of the events <attack>.
zone_14_minGreaterThanZero:	 Minimum of <zone_14> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <14th player>. During the whole duration of the events <attack>.
zone_14_max:			 Maximum of <zone_14> (Value of player with ball in the final third (last 34 meters).). For <14th player>. During the whole duration of the events <attack>.
zone_15_avg:			 Average of <zone_15> (Value of player with ball in the final third (last 34 meters).). For <15th player>. During the whole duration of the events <attack>.
zone_15_avgGreaterThanZero:	 Average of <zone_15> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <15th player>. During the whole duration of the events <attack>.
zone_15_std:			 Standard Deviation of <zone_15> (Value of player with ball in the final third (last 34 meters).). For <15th player>. During the whole duration of the events <attack>.
zone_15_min:			 Minimum of <zone_15> (Value of player with ball in the final third (last 34 meters).). For <15th player>. During the whole duration of the events <attack>.
zone_15_minGreaterThanZero:	 Minimum of <zone_15> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <15th player>. During the whole duration of the events <attack>.
zone_15_max:			 Maximum of <zone_15> (Value of player with ball in the final third (last 34 meters).). For <15th player>. During the whole duration of the events <attack>.
zone_16_avg:			 Average of <zone_16> (Value of player with ball in the final third (last 34 meters).). For <16th player>. During the whole duration of the events <attack>.
zone_16_avgGreaterThanZero:	 Average of <zone_16> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <16th player>. During the whole duration of the events <attack>.
zone_16_std:			 Standard Deviation of <zone_16> (Value of player with ball in the final third (last 34 meters).). For <16th player>. During the whole duration of the events <attack>.
